element,decrease-5,decrease-4,decrease-3,decrease-2,decrease-1,base,increase+1,increase+2,increase+3,increase+4,increase+5
1T,-0.20,-0.16,-0.12,-0.08,-0.04,0.4,+0.04,+0.08,+0.12,+0.16,+0.20
1S,-0.20,-0.16,-0.12,-0.08,-0.04,0.4,+0.04,+0.08,+0.12,+0.16,+0.20
1Lo,-0.25,-0.20,-0.15,-0.10,-0.05,0.5,+0.05,+0.10,+0.15,+0.20,+0.25
1Eu (Euler),-0.25,-0.20,-0.15,-0.10,-0.05,0.5,+0.05,+0.10,+0.15,+0.20,+0.25
1F,-0.25,-0.20,-0.15,-0.10,-0.05,0.5,+0.05,+0.10,+0.15,+0.20,+0.25
1Lz,-0.30,-0.24,-0.18,-0.12,-0.06,0.6,+0.06,+0.12,+0.18,+0.24,+0.30
1T<,-0.15,-0.12,-0.09,-0.06,-0.03,0.3,+0.03,+0.06,+0.09,+0.12,+0.15
1S<,-0.15,-0.12,-0.09,-0.06,-0.03,0.3,+0.03,+0.06,+0.09,+0.12,+0.15
1Lo<,-0.19,-0.15,-0.11,-0.08,-0.04,0.38,+0.04,+0.08,+0.11,+0.15,+0.19
1Eu<,-0.19,-0.15,-0.11,-0.08,-0.04,0.38,+0.04,+0.08,+0.11,+0.15,+0.19
1F < or e,-0.19,-0.15,-0.11,-0.08,-0.04,0.38,+0.04,+0.08,+0.11,+0.15,+0.19
1Lz < or e,-0.23,-0.18,-0.14,-0.09,-0.05,0.45,+0.05,+0.09,+0.14,+0.18,+0.23
1F < and e,-0.15,-0.12,-0.09,-0.06,-0.03,0.3,+0.03,+0.06,+0.09,+0.12,+0.15
1Lz < and e,-0.18,-0.14,-0.11,-0.07,-0.04,0.36,+0.04,+0.07,+0.11,+0.14,+0.18
1A,-0.55,-0.44,-0.33,-0.22,-0.11,1.1,+0.11,+0.22,+0.33,+0.44,+0.55
2T,-0.65,-0.52,-0.39,-0.26,-0.13,1.3,+0.13,+0.26,+0.39,+0.52,+0.65
2S,-0.65,-0.52,-0.39,-0.26,-0.13,1.3,+0.13,+0.26,+0.39,+0.52,+0.65
2Lo,-0.85,-0.68,-0.51,-0.34,-0.17,1.7,+0.17,+0.34,+0.51,+0.68,+0.85
2F,-0.90,-0.72,-0.54,-0.36,-0.18,1.8,+0.18,+0.36,+0.54,+0.72,+0.90
2Lz,-1.05,-0.84,-0.63,-0.42,-0.21,2.1,+0.21,+0.42,+0.63,+0.84,+1.05
1A<,-0.42,-0.33,-0.25,-0.17,-0.08,0.83,+0.08,+0.17,+0.25,+0.33,+0.42
2T<,-0.49,-0.39,-0.29,-0.20,-0.10,0.98,+0.10,+0.20,+0.29,+0.39,+0.49
2S<,-0.49,-0.39,-0.29,-0.20,-0.10,0.98,+0.10,+0.20,+0.29,"+0,39",+0.49
2Lo<,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,+0.13,+0.26,+0.38,+0.51,+0.64
2F < or e,"-0,68",-0.54,-0.41,-0.27,-0.14,1.35,+0.14,+0.27,+0.41,+0.54,+0.68
2Lz < or e,-0.79,-0.63,-0.47,-0.32,-0.16,1.58,+0.16,+0.32,"+0,47",+0.63,+0.79
2F < and e,-0.54,-0.43,-0.32,-0.22,-0.11,1.08,+0.11,+0.22,+0.32,+0.43,+0.54
2Lz < and e,-0.63,-0.50,-0.38,-0.25,-0.13,1.26,+0.13,+0.25,+0.38,+0.50,+0.63
2A,-1.65,-1.32,-0.99,-0.66,-0.33,3.3,+0.33,+0.66,+0.99,+1.32,+1.65
3T,-2.10,-1.68,-1.26,-0.84,-0.42,4.2,+0.42,+0.84,+1.26,+1.68,+2.10
3S,-2.15,-1.72,-1.29,-0.86,-0.43,4.3,+0.43,+0.86,+1.29,+1.72,+2.15
3Lo,-2.45,-1.96,-1.47,-0.98,-0.49,4.9,+0.49,+0.98,+1.47,+1.96,+2.45
3F,-2.65,-2.12,-1.59,-1.06,-0.53,5.3,+0.53,+1.06,+1.59,+2.12,+2.65
3Lz,-2.95,-2.36,-1.77,-1.18,-0.59,5.9,+0.59,+1.18,+1.77,+2.36,+2.95
2A<,-1.24,-0.99,-0.74,-0.50,-0.25,2.48,+0.25,+0.50,+0.74,+0.99,+1.24
3T<,-1.58,-1.26,-0.95,-0.63,-0.32,3.15,+0.32,+0.63,+0.95,+1.26,+1.58
3S<,-1.62,-1.29,-0.97,-0.65,-0.32,3.23,+0.32,+0.65,+0.97,+1.29,+1.62
3Lo<,-1.84,-1.47,-1.10,-0.74,-0.37,3.68,+0.37,+0.74,+1.10,+1.47,+1.84
3F < or e,-1.99,-1.59,-1.19,-0.80,-0.40,3.98,+0.40,+0.80,+1.19,+1.59,+1.99
3Lz < or e,-2.22,-1.77,-1.33,-0.89,-0.44,4.43,+0.44,+0.89,+1.33,+1.77,+2.22
3F < and e,-1.59,-1.27,-0.95,-0.64,-0.32,3.18,+0.32,+0.64,+0.95,+1.27,+1.59
3Lz < and e,-1.77,-1.42,-1.06,-0.71,-0.35,3.54,+0.35,+0.71,+1.06,+1.42,+1.77
3Ğ,-4.00,-3.20,-2.40,-1.60,-0.80,8.0,+0.80,+1.60,+2.40,+3.20,+4.00
4T,-4.75,-3.80,-2.85,-1.90,-0.95,9.5,+0.95,+1.90,+2.85,+3.80,+4.75
4S,-4.85,-3.88,-2.91,-1.94,-0.97,9.7,+0.97,+1.94,+2.91,+3.88,+4.85
4Lo,-5.25,-4.20,-3.15,-2.10,-1.05,10.5,+1.05,+2.10,+3.15,+4.20,+5.25
4F,-5.50,-4.40,-3.30,-2.20,-1.10,11.0,+1.10,+2.20,+3.30,+4.40,+5.50
4Lz,-5.75,-4.60,-3.45,-2.30,-1.15,11.5,+1.15,+2.30,+3.45,+4.60,+5.75
4A,-6.25,-5.00,-3.75,-2.50,-1.25,12.5,+1.25,+2.50,+3.75,+5.00,+6.25
3A<,-3.00,-2.40,-1.80,-1.20,-0.60,6.0,+0.60,+1.20,+1.80,+2.40,+3.00
4T<,-3.57,-2.85,-2.14,-1.43,-0.71,7.13,+0.71,+1.43,+2.14,+2.85,+3.57
4S<,-3.64,-2.91,-2.18,-1.46,-0.73,7.28,+0.73,"+1,46",+2.18,+2.91,+3.64
4Lo<,-3.94,-3.15,-2.36,-1.58,-0.79,7.88,+0.79,+1.58,+2.36,+3.15,+3.94
4F < or e,-4.13,-3.30,-2.48,-1.65,-0.83,8.25,+0.83,+1.65,+2.48,+3.30,+4.13
4Lz < or e,-4.32,-3.45,-2.59,-1.73,-0.86,8.63,+0.86,+1.73,+2.59,+3.45,+4.32
4F < and e,-3.30,-2.64,-1.98,-1.32,-0.66,6.6,+0.66,+1.32,+1.98,+2.64,+3.30
4Lz < and e,-3.45,-2.76,-2.07,-1.38,-0.69,6.9,+0.69,+1.38,+2.07,+2.76,+3.45
4A<,-4.69,-3.75,-2.81,-1.88,-0.94,9.38,+0.94,+1.88,+2.81,+3.75,+4.69
USpB,-0.50,-0.40,-0.30,-0.20,-0.10,1.0,+0.10,+0.20,+0.30,+0.40,+0.50
USp1,-0.60,-0.48,-0.36,-0.24,-0.12,1.2,+0.12,+0.24,+0.36,+0.48,+0.60
USp2,-0.75,-0.60,-0.45,-0.30,-0.15,1.5,+0.15,+0.30,+0.45,+0.60,+0.75
USp3,-0.95,-0.76,-0.57,-0.38,-0.19,1.9,+0.19,+0.38,+0.57,+0.76,+0.95
USp4,-1.20,-0.96,-0.72,-0.48,-0.24,2.4,+0.24,+0.48,+0.72,+0.96,+1.20
LSpB,-0.60,-0.48,-0.36,-0.24,-0.12,1.2,+0.12,+0.24,+0.36,+0.48,+0.60
LSp1,-0.75,-0.60,-0.45,-0.30,-0.15,1.5,+0.15,+0.30,+0.45,+0.60,+0.75
LSp2,-0.95,-0.76,-0.57,-0.38,-0.19,1.9,+0.19,+0.38,+0.57,+0.76,+0.95
LSp3,-1.20,-0.96,-0.72,-0.48,-0.24,2.4,+0.24,+0.48,+0.72,+0.96,+1.20
LSp4,-1.35,-1.08,-0.81,-0.54,-0.27,2.7,+0.27,+0.54,+0.81,+1.08,+1.35
CSpB,-0.55,-0.44,-0.33,-0.22,-0.11,1.1,+0.11,+0.22,+0.33,+0.44,+0.55
CSp1,-0.70,-0.56,-0.42,-0.28,-0.14,1.4,+0.14,+0.28,+0.42,+0.56,+0.70
CSp2,-0.90,-0.72,-0.54,-0.36,-0.18,1.8,+0.18,+0.36,+0.54,+0.72,+0.90
CSp3,-1.15,-0.92,-0.69,-0.46,-0.23,2.3,+0.23,+0.46,+0.69,+0.92,+1.15
CSp4,-1.30,-1.04,-0.78,-0.52,-0.26,2.6,+0.26,+0.52,+0.78,+1.04,+1.30
SSpB,-0.55,-0.44,-0.33,-0.22,-0.11,1.1,+0.11,+0.22,+0.33,+0.44,+0.55
SSp1,-0.65,-0.52,-0.39,-0.26,-0.13,1.3,+0.13,+0.26,+0.39,+0.52,+0.65
SSp2,-0.80,-0.64,-0.48,-0.32,-0.16,1.6,+0.16,+0.32,+0.48,+0.64,+0.80
SSp3,-1.05,-0.84,-0.63,-0.42,-0.21,2.1,+0.21,+0.42,+0.63,+0.84,+1.05
SSp4,-1.25,-1.00,-0.75,-0.50,-0.25,2.5,+0.25,+0.50,+0.75,+1.00,+1.25
FUSpB,-0.75,-0.60,-0.45,-0.30,-0.15,1.5,+0.15,+0.30,+0.45,+0.60,+0.75
FUSp1,-0.85,-0.68,-0.51,-0.34,-0.17,1.7,+0.17,+0.34,+0.51,+0.68,+0.85
FUSp2,-1.00,-0.80,-0.60,-0.40,-0.20,2.0,+0.20,+0.40,+0.60,+0.80,+1.00
FUSp3,-1.20,-0.96,-0.72,-0.48,-0.24,2.4,+0.24,+0.48,+0.72,+0.96,+1.20
FUSp4,-1.45,-1.16,-0.87,-0.58,-0.29,2.9,+0.29,+0.58,+0.87,+1.16,+1.45
FUSpBV,-0.57,-0.45,-0.34,-0.23,-0.11,1.13,+0.11,+0.23,+0.34,+0.45,+0.57
FUSp1V,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,+0.13,+0.26,+0.38,+0.51,+0.64
FUSp2V,-0.75,-0.60,-0.45,-0.30,-0.15,1.5,+0.15,+0.30,+0.45,+0.60,+0.75
FUSp3V,-0.90,-0.72,-0.54,-0.36,-0.18,1.8,+0.18,+0.36,+0.54,+0.72,+0.90
FUSp4V,-1.09,-0.87,-0.65,-0.44,-0.22,2.18,+0.22,+0.44,+0.65,+0.87,+1.09
FLSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.7,+0.17,+0.34,+0.51,+0.68,+0.85
FLSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.0,+0.20,+0.40,+0.60,+0.80,+1.00
FLSp2,-1.20,-0.96,-0.72,-0.48,-0.24,2.4,+0.24,+0.48,+0.72,+0.96,+1.20
FLSp3,-1.45,-1.16,-0.87,-0.58,-0.29,2.9,+0.29,+0.58,+0.87,+1.16,+1.45
FLSp4,-1.60,-1.28,-0.96,-0.64,-0.32,3.2,+0.32,+0.64,+0.96,+1.28,+1.60
FLSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,+0.13,+0.26,+0.38,+0.51,+0.64
FLSp1V,"-0,75","-0,60","-0,45","-0,30","-0,15",1.5,+0.15,+0.30,+0.45,+0.60,+0.75
FLSp2V,"-0,90","-0,72","-0,54","-0,36","-0,18",1.8,+0.18,+0.36,+0.54,+0.72,+0.90
FLSp3V,"-1,09","-0,87","-0,65","-0,44","-0,22",2.18,+0.22,+0.44,+0.65,+0.87,+1.09
FLSp4V,"-1,20","-0,96","-0,72","-0,48","-0,24",2.4,+0.24,+0.48,+0.72,+0.96,+1.20
FCSpB,-0.80,-0.64,-0.48,-0.32,-0.16,1.6,+0.16,+0.32,+0.48,+0.64,+0.80
FCSp1,-0.95,-0.76,-0.57,-0.38,-0.19,1.9,+0.19,+0.38,+0.57,+0.76,+0.95
FCSp2,-1.15,-0.92,-0.69,-0.46,-0.23,2.3,+0.23,+0.46,+0.69,+0.92,+1.15
FCSp3,-1.40,-1.12,-0.84,-0.56,-0.28,2.8,+0.28,+0.56,+0.84,+1.12,+1.40
FCSp4,-1.60,-1.28,-0.96,-0.64,-0.32,3.2,+0.32,+0.64,+0.96,+1.28,+1.60
FCSpBV,-0.60,-0.48,"-0,36",-0.24,-0.12,1.2,+0.12,+0.24,+0.36,+0.48,+0.60
FCSp1V,-0.72,-0.57,"-0,43",-0.29,-0.14,1.43,+0.14,+0.29,+0.43,+0.57,+0.72
FCSp2V,-0.87,-0.69,"-0,52",-0.35,-0.17,1.73,+0.17,+0.35,+0.52,+0.69,+0.87
FCSp3V,-1.05,"-0,84",-0.63,-0.42,-0.21,2.1,+0.21,+0.42,+0.63,+0.84,+1.05
FCSp4V,-1.20,"-0,96",-0.72,-0.48,-0.24,2.4,+0.24,+0.48,+0.72,+0.96,+1.20
FSSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.7,+0.17,+0.34,+0.51,+0.68,+0.85
FSSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.0,+0.20,+0.40,+0.60,+0.80,+1.00
FSSp2,-1.15,-0.92,-0.69,-0.46,-0.23,2.3,+0.23,+0.46,+0.69,+0.92,+1.15
FSSp3,-1.30,-1.04,-0.78,-0.52,-0.26,2.6,+0.26,+0.52,+0.78,+1.04,+1.30
FSSp4,-1.50,-1.20,-0.90,-0.60,-0.30,3.0,+0.30,+0.60,+0.90,+1.20,+1.50
FSSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,+0.13,+0.26,+0.38,+0.51,+0.64
FSSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.5,+0.15,+0.30,+0.45,+0.60,+0.75
FSSp2V,-0.87,-0.69,-0.52,-0.35,-0.17,1.73,+0.17,+0.35,+0.52,+0.69,+0.87
FSSp3V,-0.98,-0.78,-0.59,-0.39,-0.20,1.95,+0.20,+0.39,+0.59,+0.78,+0.98
FSSp4V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,+0.23,+0.45,+0.68,+0.90,+1.13
(F)CUSpB,-0.75,-0.60,-0.45,-0.30,-0.15,1.5,+0.15,+0.30,+0.45,+0.60,+0.75
(F)CUSp1,-0.85,-0.68,-0.51,-0.34,-0.17,1.7,+0.17,+0.34,+0.51,+0.68,+0.85
(F)CUSp2,-1.00,-0.80,-0.60,-0.40,-0.20,2.0,+0.20,+0.40,+0.60,+0.80,+1.00
(F)CUSp3,-1.20,-0.96,-0.72,-0.48,-0.24,2.4,+0.24,+0.48,+0.72,+0.96,+1.20
(F)CUSp4,-1.45,-1.16,-0.87,-0.58,-0.29,2.9,+0.29,+0.58,+0.87,+1.16,+1.45
(F)CUSpBV,-0.57,-0.45,-0.34,-0.23,-0.11,1.13,+0.11,+0.23,+0.34,+0.45,+0.57
(F)CUSp1V,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,+0.13,+0.26,+0.38,+0.51,+0.64
(F)CUSp2V,-0.75,-0.60,-0.45,-0.30,-0.15,1.5,+0.15,+0.30,+0.45,+0.60,+0.75
(F)CUSp3V,-0.90,-0.72,-0.54,-0.36,-0.18,1.8,+0.18,+0.36,+0.54,+0.72,+0.90
(F)CUSp4V,-1.09,-0.87,-0.65,-0.44,-0.22,2.18,+0.22,+0.44,+0.65,+0.87,+1.09
(F)CLSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.7,+0.17,+0.34,+0.51,+0.68,+0.85
(F)CLSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.0,+0.20,+0.40,+0.60,+0.80,+1.00
(F)CLSp2,-1.20,-0.96,-0.72,-0.48,-0.24,2.4,+0.24,+0.48,+0.72,+0.96,+1.20
(F)CLSp3,-1.45,-1.16,-0.87,-0.58,-0.29,2.9,+0.29,+0.58,+0.87,+1.16,+1.45
(F)CLSp4,-1.60,-1.28,-0.96,-0.64,-0.32,3.2,+0.32,+0.64,+0.96,+1.28,+1.60
(F)CLSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,+0.13,+0.26,+0.38,+0.51,+0.64
(F)CLSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.5,+0.15,+0.30,+0.45,+0.60,+0.75
(F)CLSp2V,-0.90,-0.72,-0.54,-0.36,-0.18,1.8,+0.18,+0.36,+0.54,+0.72,+0.90
(F)CLSp3V,-1.09,-0.87,-0.65,-0.44,-0.22,2.18,+0.22,+0.44,+0.65,+0.87,+1.09
(F)CLSp4V,-1.20,-0.96,-0.72,-0.48,-0.24,2.4,+0.24,+0.48,+0.72,+0.96,+1.20
(F)CCSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.7,+0.17,+0.34,+0.51,+0.68,+0.85
(F)CCSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.0,+0.20,+0.40,+0.60,+0.80,+1.00
(F)CCSp2,-1.15,-0.92,-0.69,-0.46,-0.23,2.3,+0.23,+0.46,+0.69,+0.92,+1.15
(F)CCSp3,-1.40,-1.12,-0.84,-0.56,-0.28,2.8,+0.28,+0.56,+0.84,+1.12,+1.40
(F)CCSp4,-1.60,-1.28,-0.96,-0.64,-0.32,3.2,+0.32,+0.64,+0.96,+1.28,+1.60
(F)CCSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,+0.13,+0.26,+0.38,+0.51,+0.64
(F)CCSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.5,+0.15,+0.30,+0.45,+0.60,+0.75
(F)CCSp2V,-0.87,-0.69,-0.52,-0.35,-0.17,1.73,+0.17,+0.35,+0.52,+0.69,+0.87
(F)CCSp3V,-1.05,-0.84,-0.63,-0.42,-0.21,2.1,+0.21,+0.42,+0.63,+0.84,+1.05
(F)CCSp4V,-1.20,-0.96,-0.72,-0.48,-0.24,2.4,+0.24,+0.48,+0.72,+0.96,+1.20
