element,decrease-5,decrease-4,decrease-3,decrease-2,decrease-1,base,increase+1,increase+2,increase+3,increase+4,increase+5
(F)CSSpB,-0.80,-0.64,-0.48,-0.32,-0.16,1.60,+0.16,+0.32,+0.48,+0.64,+0.80
(F)CSSp1,-0.95,-0.76,-0.57,-0.38,-0.19,1.90,+0.19,+0.38,+0.57,+0.76,+0.95
(F)CSSp2,-1.15,-0.92,-0.69,-0.46,-0.23,2.30,+0.23,+0.46,+0.69,+0.92,+1.15
(F)CSSp3,-1.30,-1.04,-0.78,-0.52,-0.26,2.60,+0.26,+0.52,+0.78,+1.04,+1.30
(F)CSSp4,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,+0.30,+0.60,+0.90,+1.20,+1.50
(F)CSSpBV,-0.60,-0.48,-0.36,-0.24,-0.12,1.20,+0.12,+0.24,+0.36,+0.48,+0.60
(F)CSSp1V,-0.72,-0.57,-0.43,-0.29,-0.14,1.43,+0.14,+0.29,+0.43,+0.57,+0.72
(F)CSSp2V,-0.87,-0.69,-0.52,-0.35,-0.17,1.73,+0.17,+0.35,+0.52,+0.69,+0.87
(F)CSSp3V,-0.98,-0.78,-0.59,-0.39,-0.20,1.95,+0.20,+0.39,+0.59,+0.78,+0.98
(F)CSSp4V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,+0.23,+0.45,+0.68,+0.90,+1.13
(F)CoSpB,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,+0.15,+0.30,+0.45,+0.60,+0.75
(F)CoSp1,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,+0.17,+0.34,+0.51,+0.68,+0.85
(F)CoSp2,-1.00,-0.80,-0.60,-0.40,-0.20,"2,00",+0.20,+0.40,+0.60,+0.80,+1.00
(F)CoSp3,-1.25,-1.00,-0.75,-0.50,-0.25,2.50,+0.25,+0.50,+0.75,+1.00,+1.25
(F)CoSp4,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,+0.30,+0.60,+0.90,+1.20,+1.50
(F)CoSpBV,-0.57,-0.45,-0.34,-0.23,-0.11,1.13,+0.11,+0.23,+0.34,+0.45,+0.57
(F)CoSp1V,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,+0.13,+0.26,+0.38,+0.51,+0.64
(F)CoSp2V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,+0.15,+0.30,+0.45,+0.60,+0.75
(F)CoSp3V,-0.94,-0.75,-0.56,-0.38,-0.19,1.88,+0.19,+0.38,+0.56,+0.75,+0.94
(F)CoSp4V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,+0.23,+0.45,+0.68,+0.90,+1.13
(F)CCoSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,+0.17,+0.34,+0.51,+0.68,+0.85
(F)CCoSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,+0.20,+0.40,+0.60,+0.80,+1.00
(F)CCoSp2,-1.25,-1.00,-0.75,-0.50,-0.25,2.50,+0.25,+0.50,+0.75,+1.00,+1.25
(F)CCoSp3,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,+0.30,+0.60,+0.90,+1.20,+1.50
(F)CCoSp4,-1.75,-1.40,-1.05,-0.70,-0.35,3.50,+0.35,+0.70,+1.05,+1.40,+1.75
(F)CCoSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,+0.13,+0.26,+0.38,+0.51,+0.64
(F)CCoSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,+0.15,+0.30,+0.45,+0.60,+0.75
(F)CCoSp2V,-0.94,-0.75,-0.56,-0.38,-0.19,1.88,+0.19,+0.38,+0.56,+0.75,+0.94
(F)CCoSp3V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,+0.23,+0.45,+0.68,+0.90,+1.13
(F)CCoSp4V,-1.32,-1.05,-0.79,-0.53,-0.26,2.63,+0.26,+0.53,+0.79,+1.05,+1.32
StSqB,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,+0.15,+0.30,+0.45,+0.60,+0.75
StSq1,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,+0.18,+0.36,+0.54,+0.72,+0.90
StSq2,-1.30,-1.04,-0.78,-0.52,-0.26,2.60,+0.26,+0.52,+0.78,+1.04,+1.30
StSq3,-1.65,-1.32,-0.99,-0.66,-0.33,3.30,+0.33,+0.66,+0.99,+1.32,+1.65
StSq4,-1.95,-1.56,-1.17,-0.78,-0.39,3.90,+0.39,+0.78,+1.17,+1.56,+1.95
1LiB,-0.70,-0.56,-0.42,-0.28,-0.14,1.40,+0.14,+0.28,+0.42,+0.56,+0.70
1Li1,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,+0.15,+0.30,+0.45,+0.60,+0.75
1Li2,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,+0.17,+0.34,+0.51,+0.68,+0.85
1Li3,-0.95,-0.76,-0.57,-0.38,-0.19,1.90,+0.19,+0.38,+0.57,+0.76,+0.95
1Li4,-1.05,-0.84,-0.63,-0.42,-0.21,2.10,+0.21,+0.42,+0.63,+0.84,+1.05
2LiB,-0.75,-0.60,-0.45,-0.30,-0.15,"1,50",+0.15,+0.30,+0.45,+0.60,+0.75
2Li1,-0.95,-0.76,-0.57,-0.38,-0.19,1.90,+0.19,+0.38,+0.57,+0.76,+0.95
2Li2,-1.15,-0.92,-0.69,-0.46,-0.23,2.30,+0.23,+0.46,+0.69,+0.92,+1.15
2Li3,-1.35,-1.08,-0.81,-0.54,-0.27,2.70,+0.27,+0.54,+0.81,+1.08,+1.35
2Li4,-1.55,-1.24,-0.93,-0.62,-0.31,3.10,+0.31,+0.62,0.93,+1.24,+1.55
3LiB/4LiB,-1.75,-1.40,-1.05,-0.70,-0.35,3.50,+0.35,+0.70,+1.05,+1.40,+1.75
3Li1/4Li1,-1.95,-1.56,-1.17,-0.78,-0.39,3.90,+0.39,+0.78,+1.17,+1.56,+1.95
3Li2/4Li2,-2.15,-1.72,-1.29,-0.86,-0.43,4.30,+0.43,+0.86,+1.29,+1.72,+2.15
3Li3/4Li3,-2.35,-1.88,-1.41,-0.94,-0.47,4.70,+0.47,+0.94,+1.41,+1.88,+2.35
3Li4/4Li4,-2.55,-2.04,-1.53,-1.02,-0.51,5.10,+0.51,+1.02,+1.53,+2.04,+2.55
5T/5SLiB,-2.30,-1.84,-1.38,-0.92,-0.46,4.60,+0.46,+0.92,+1.38,+1.84,+2.30
5T/5SLi1,-2.50,-2.00,-1.50,-1.00,-0.50,5.00,+0.50,+1.00,+1.50,+2.00,+2.50
5T/5SLi2,-2.70,-2.16,-1.62,-1.08,-0.54,5.40,+0.54,+1.08,+1.62,+2.16,+2.70
5T/5SLi3,-2.90,-2.32,-1.74,-1.16,-0.58,"5,80",+0.58,+1.16,+1.74,+2.32,+2.90
5T/5SLi4,-3.10,-2.48,-1.86,-1.24,-0.62,6.20,+0.62,+1.24,+1.86,+2.48,+3.10
5BLiB,-2.50,-2.00,-1.50,-1.00,-0.50,5.00,+0.50,+1.00,+1.50,+2.00,+2.50
5BLi1,-2.70,-2.16,-1.62,-1.08,-0.54,5.40,+0.54,+1.08,+1.62,+2.16,+2.70
5BLi2,-2.90,-2.32,-1.74,-1.16,-0.58,5.80,+0.58,+1.16,+1.74,+2.32,+2.90
5BLi3,-3.10,-2.48,-1.86,-1.24,-0.62,6.20,+0.62,+1.24,+1.86,+2.48,+3.10
5BLi4,-3.25,-2.60,-1.95,-1.30,-0.65,6.50,+0.65,+1.30,+1.95,+2.60,+3.25
5A/5RLiB,-2.70,-2.16,-1.62,-1.08,-0.54,5.40,+0.54,+1.08,+1.62,+2.16,+2.70
5A/5RLi1,-2.90,-2.32,-1.74,-1.16,-0.58,5.80,+0.58,+1.16,+1.74,+2.32,+2.90
5A/5RLi2,-3.10,-2.48,-1.86,-1.24,-0.62,6.20,+0.62,+1.24,+1.86,+2.48,+3.10
5A/5RLi3,-3.30,-2.64,-1.98,-1.32,-0.66,6.60,+0.66,+1.32,+1.98,+2.64,+3.30
5A/5RLi4,-3.50,-2.80,-2.10,-1.40,-0.70,7.00,+0.70,+1.40,+2.10,+2.80,+3.50
1TwB,-0.45,-0.36,-0.27,-0.18,-0.09,0.90,+0.09,+0.18,+0.27,+0.36,+0.45
1Tw1,-0.55,-0.44,-0.33,-0.22,-0.11,1.10,+0.11,+0.22,+0.33,+0.44,+0.55
1Tw2,-0.65,-0.52,-0.39,-0.26,-0.13,1.30,+0.13,+0.26,+0.39,+0.52,+0.65
1Tw3,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,+0.15,+0.30,+0.45,+0.60,+0.75
1Tw4,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,+0.17,+0.34,+0.51,+0.68,+0.85
2TwB,-1.30,-1.04,-0.78,-0.52,-0.26,2.60,+0.26,+0.52,+0.78,+1.04,+1.30
2Tw1,-1.40,-1.12,-0.84,-0.56,-0.28,2.80,+0.28,+0.56,+0.84,+1.12,+1.40
2Tw2,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,+0.30,+0.60,+0.90,+1.20,+1.50
2Tw3,-1.60,-1.28,-0.96,-0.64,-0.32,3.20,+0.32,+0.64,+0.96,+1.28,+1.60
2Tw4,-1.70,-1.36,-1.02,-0.68,-0.34,3.40,+0.34,+0.68,+1.02,+1.36,+1.70
3TwB,-2.40,-1.92,-1.44,-0.96,-0.48,4.80,+0.48,+0.96,+1.44,+1.92,+2.40
3Tw1,-2.55,-2.04,-1.53,-1.02,-0.51,5.10,+0.51,+1.02,+1.53,+2.04,+2.55
3Tw2,-2.70,-2.16,-1.62,-1.08,-0.54,5.40,+0.54,+1.08,+1.62,+2.16,+2.70
3Tw3,-2.85,-2.28,-1.71,-1.14,-0.57,5.70,+0.57,+1.14,+1.71,+2.28,+2.85
3Tw4,-3.00,-2.40,-1.80,-1.20,-0.60,6.00,+0.60,+1.20,+1.80,+2.40,+3.00
4TwB,-3.20,-2.56,-1.92,-1.28,-0.64,6.40,+0.64,+1.28,+1.92,+2.56,+3.20
4Tw1,-3.40,-2.72,-2.04,-1.36,-0.68,6.80,+0.68,+1.36,+2.04,+2.72,+3.40
4Tw2,-3.60,-2.88,-2.16,-1.44,-0.72,7.20,+0.72,+1.44,+2.16,+2.88,+3.60
4Tw3,-3.80,-3.04,-2.28,-1.52,-0.76,7.60,+0.76,+1.52,+2.28,+3.04,+3.80
4Tw4,-4.00,-3.20,-2.40,-1.60,-0.80,8.00,+0.80,+1.60,+2.40,+3.20,+4.00
1TTh,-0.55,-0.44,-0.33,-0.22,-0.11,1.10,+0.11,+0.22,+0.33,+0.44,+0.55
1STh,-0.55,-0.44,-0.33,-0.22,-0.11,1.10,+0.11,+0.22,+0.33,+0.44,+0.55
1LoTh,-0.70,-0.56,-0.42,-0.28,-0.14,1.40,+0.14,+0.28,+0.42,+0.56,+0.70
1F/1LzTh,-0.70,-0.56,-0.42,-0.28,-0.14,1.40,+0.14,+0.28,+0.42,+0.56,+0.70
1TTh<,-0.42,-0.33,-0.25,-0.17,-0.08,0.83,+0.08,+0.17,+0.25,+0.33,+0.42
1STh<,-0.42,-0.33,-0.25,-0.17,-0.08,0.83,+0.08,+0.17,+0.25,+0.33,+0.42
1LoTh<,-0.53,-0.42,-0.32,-0.21,-0.11,1.05,+0.11,+0.21,+0.32,+0.42,+0.53
1F</1LzTh<,-0.53,-0.42,-0.32,-0.21,-0.11,1.05,+0.11,+0.21,+0.32,+0.42,+0.53
1ATh,-1.10,-0.88,-0.66,-0.44,-0.22,2.20,+0.22,+0.44,+0.66,+0.88,+1.10
2TTh,-1.25,-1.00,-0.75,-0.50,-0.25,2.50,+0.25,+0.50,+0.75,+1.00,+1.25
2STh,-1.25,-1.00,-0.75,-0.50,-0.25,2.50,+0.25,+0.50,+0.75,+1.00,+1.25
2LoTh,-1.40,-1.12,-0.84,-0.56,-0.28,2.80,+0.28,+0.56,+0.84,+1.12,+1.40
2F/2LzTh,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,+0.30,+0.60,+0.90,+1.20,+1.50
1ATh<,-0.83,-0.66,-0.50,-0.33,-0.17,1.65,+0.17,+0.33,+0.50,+0.66,+0.83
2TTh<,-0.94,-0.75,-0.56,-0.38,-0.19,1.88,+0.19,+0.38,+0.56,+0.75,+0.94
2STh<,-0.94,-0.75,-0.56,-0.38,-0.19,1.88,+0.19,+0.38,+0.56,+0.75,+0.94
2LoTh<,-1.05,-0.84,-0.63,-0.42,-0.21,2.1,+0.21,+0.42,+0.63,+0.84,+1.05
2F/2LzTh<,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,+0.23,+0.45,+0.68,+0.90,+1.13
2ATh,-2.00,-1.60,-1.20,-0.80,-0.40,4.0,+0.40,+0.80,+1.20,+1.60,+2.00
3TTh,-2.20,-1.76,-1.32,-0.88,-0.44,4.4,+0.44,+0.88,+1.32,+1.76,+2.20
3STh,-2.20,-1.76,-1.32,-0.88,-0.44,4.4,+0.44,+0.88,+1.32,+1.76,+2.20
3LoTh,-2.50,-2.00,-1.50,-1.00,-0.50,5.0,+0.50,+1.00,+1.50,+2.00,+2.50
3F/3LzTh,-2.65,-2.12,-1.59,-1.06,-0.53,5.3,+0.53,+1.06,+1.59,+2.12,+2.65
2ATh<,-1.50,-1.20,-0.90,-0.60,-0.30,3.0,+0.30,+0.60,+0.90,+1.20,+1.50
3TTh<,-1.65,-1.32,-0.99,-0.66,-0.33,3.3,+0.33,+0.66,+0.99,+1.32,+1.65
3STh<,-1.65,-1.32,-0.99,-0.66,-0.33,3.3,+0.33,+0.66,+0.99,+1.32,+1.65
3LoTh<,-1.88,-1.50,-1.13,-0.75,-0.38,3.75,+0.38,+0.75,+1.13,+1.50,+1.88
3F/3LzTh<,-1.99,-1.59,-1.19,-0.80,-0.40,3.98,+0.40,+0.80,+1.19,+1.59,+1.99
3ATh,-3.00,-2.40,-1.80,-1.20,-0.60,6.0,+0.60,+1.20,+1.80,+2.40,+3.00
4TTh,-3.25,-2.60,-1.95,-1.30,-0.65,6.5,+0.65,+1.30,+1.95,+2.60,+3.25
4STh,-3.25,-2.60,-1.95,-1.30,-0.65,6.5,+0.65,+1.30,+1.95,+2.60,+3.25
4LoTh,-3.50,-2.80,-2.10,-1.40,-0.70,7.0,+0.70,+1.40,+2.10,+2.80,+3.50
4F/4LzTh,-3.75,-3.00,-2.25,-1.50,-0.75,7.5,+0.75,+1.50,+2.25,+3.00,+3.75
3ATh<,-2.25,-1.80,-1.35,-0.90,-0.45,4.5,+0.45,+0.90,+1.35,+1.80,+2.25
4TTh<,-2.44,-1.95,-1.46,-0.98,-0.49,4.88,+0.49,+0.98,+1.46,+1.95,+2.44
4STh<,-2.44,-1.95,-1.46,-0.98,-0.49,4.88,+0.49,+0.98,+1.46,+1.95,+2.44
4LoTh<,-2.63,-2.10,-1.58,-1.05,-0.53,5.25,+0.53,+1.05,+1.58,+2.10,+2.63
4F/4LzTh<,-2.82,-2.25,-1.69,-1.13,-0.56,5.63,+0.56,+1.13,+1.69,+2.25,+2.82
Fi/BiDsB,-1.30,-1.04,-0.78,-0.52,-0.26,2.6,+0.26,+0.52,+0.78,+1.04,+1.30
Fi/BiDs1,-1.45,-1.16,-0.87,-0.58,-0.29,2.9,+0.29,+0.58,+0.87,+1.16,+1.45
Fi/BiDs2,-1.60,-1.28,-0.96,-0.64,-0.32,3.2,+0.32,+0.64,+0.96,+1.28,+1.60
Fi/BiDs3,-1.75,-1.40,-1.05,-0.70,-0.35,3.5,+0.35,+0.70,+1.05,+1.40,+1.75
Fi/BiDs4,-1.90,-1.52,-1.14,-0.76,-0.38,3.8,+0.38,+0.76,+1.14,+1.52,+1.90
Fo/BoDsB,-1.55,-1.24,-0.93,-0.62,-0.31,3.1,+0.31,+0.62,+0.93,+1.24,+1.55
Fo/BoDs1,-1.75,-1.40,-1.05,-0.70,-0.35,3.5,+0.35,+0.70,+1.05,+1.40,+1.75
Fo/BoDs2,-1.95,-1.56,-1.17,-0.78,-0.39,3.9,+0.39,+0.78,+1.17,+1.56,+1.95
Fo/BoDs3,-2.15,-1.72,-1.29,-0.86,-0.43,4.3,+0.43,+0.86,+1.29,+1.72,+2.15
Fo/BoDs4,-2.35,-1.88,-1.41,-0.94,-0.47,4.7,+0.47,+0.94,+1.41,+1.88,+2.35
PiF,-1.10,-0.88,-0.66,-0.44,-0.22,2.2,+0.22,+0.44,+0.66,+0.88,+1.10
PSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.7,+0.17,+0.34,+0.51,+0.68,+0.85
PSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.0,+0.20,+0.40,+0.60,+0.80,+1.00
PSp2,-1.25,-1.00,-0.75,-0.50,-0.25,2.5,+0.25,+0.50,+0.75,+1.00,+1.25
PSp3,-1.50,-1.20,-0.90,-0.60,-0.30,3.0,+0.30,+0.60,+0.90,+1.20,+1.50
PSp4,-1.75,-1.40,-1.05,-0.70,-0.35,3.5,+0.35,+0.70,+1.05,+1.40,+1.75
PCoSpB,-1.25,-1.00,-0.75,-0.50,-0.25,2.5,+0.25,+0.50,+0.75,+1.00,+1.25
PCoSp1,-1.50,-1.20,-0.90,-0.60,-0.30,3.0,+0.30,+0.60,+0.90,+1.20,+1.50
PCoSp2,-1.75,-1.40,-1.05,-0.70,-0.35,3.5,+0.35,+0.70,+1.05,+1.40,+1.75
PCoSp3,-2.00,-1.60,-1.20,-0.80,-0.40,4.0,+0.40,+0.80,+1.20,+1.60,+2.00
PCoSp4,-2.25,-1.80,-1.35,-0.90,-0.45,4.5,+0.45,+0.90,+1.35,+1.80,+2.25
PCoSpBV,-0.94,-0.75,-0.56,-0.38,-0.19,1.88,+0.19,+0.38,+0.56,+0.75,+0.94
PCoSp1V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,+0.23,+0.45,+0.68,+0.90,+1.13
PCoSp3V,-1.50,-1.20,-0.90,-0.60,-0.30,3.0,+0.30,+0.60,+0.90,+1.20,+1.50
PCoSp4V,-1.69,-1.35,-1.01,-0.68,-0.34,3.38,+0.34,+0.68,+1.01,+1.35,+1.69
ChSq,"-2,50","-2,00",-1.5,"-1,00",-0.5,3.0,0.5,1.0,1.5,2.0,2.5
